Feature,Importance
bb_position,0.06618143792423951
volatility_30,0.05564224879308305
bb_squeeze,0.054143767010978575
gap,0.05217827081664468
momentum_5,0.05089974578498179
macd_diff,0.049460902981451026
price_to_sma5,0.04864520172144832
volume_change_3,0.047641135671226624
rsi,0.04729708700890164
volume_ratio,0.04656212976012401
price_to_sma20,0.046385093687206704
volatility_10,0.046384996374778685
momentum_3,0.046341512067403424
volume_change_10,0.04616823782534711
momentum_14,0.04610374068652798
momentum_10,0.04610136532670658
returns,0.042985377151426536
volume_change_5,0.04238099531355472
daily_range,0.04209506518069804
log_returns,0.04062767431102754
consecutive_down,0.010947635028131947
consecutive_up,0.010801332473925233
sma_trend,0.006644341007530326
near_high,0.0021403781786609438
rsi_overbought,0.0019425596308709496
near_low,0.0013111145752475494
rsi_oversold,0.001184813217227783
macd_crossover,0.0006262533731047709
volume_spike,0.00017558711754389985
